"Study_number","Site_ID","Meas_Year","Meas_Month","Meas_DOY","Rs_Norm","Rh_Norm","Ra_Norm","HC","RC","Tsoil","TsDepth","TsMethod","SWC","SWCDepth","SWCType","SWCComment","Meas_Month2","Study_midyear","Latitude","Longitude","Elevation","Manipulation","Biome","Ecosystem_type","Leaf_habit","Soil_type","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Ra_annual","Rh_annual","RC_annual","C_soilmineral"
148,"US-TOR",1974,12,340,0.69,0.24,0.45,0.352,0.647,NA,NA,"",NA,NA,"","",12,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,12,356,0.25,0.09,0.15,0.371,0.628,NA,NA,"",NA,NA,"","",12,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
153,"US-TMS",1975,NA,NA,1.24,0.82,0.42,0.661504425,0.338495575,NA,NA,"",NA,NA,"","",NA,1975,38.9,-92.33,NA,"None","Temperate","Grassland","Deciduous","Loess over claypan",NA,NA,NA,NA,NA,12.2,1000,NA,NA,NA,"Alkali absorption",NA,NA,415.27,"",NA,NA,"Extraction",452,153,299,0.34,NA
173,"CA-SAS",1971,NA,133,1.48,1.2,0.28,0.81,0.19,NA,NA,"",39.35,15,"VWC","",5,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,138,1.93,1.56,0.37,0.81,0.19,NA,NA,"",35.81,15,"VWC","",5,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,142,1.09,0.88,0.21,0.81,0.19,NA,NA,"",40.78,15,"VWC","",5,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,146,1.88,1.52,0.36,0.81,0.19,NA,NA,"",36.88,15,"VWC","",5,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,149,1.02,0.83,0.19,0.81,0.19,NA,NA,"",38.65,15,"VWC","",5,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,152,0.7,0.57,0.13,0.81,0.19,NA,NA,"",49.65,15,"VWC","",6,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,160,1.85,1.5,0.35,0.81,0.19,NA,NA,"",39.35,15,"VWC","",6,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,164,1.43,1.16,0.27,0.81,0.19,NA,NA,"",42.2,15,"VWC","",6,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,169,1.23,0.99,0.23,0.81,0.19,NA,NA,"",49.65,15,"VWC","",6,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,173,0.99,0.8,0.19,0.81,0.19,NA,NA,"",53.55,15,"VWC","",6,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,181,1.64,1.33,0.31,0.81,0.19,NA,NA,"",45.39,15,"VWC","",6,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,187,1.07,0.87,0.2,0.81,0.19,NA,NA,"",51.77,15,"VWC","",7,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,193,2.09,1.69,0.4,0.81,0.19,NA,NA,"",44.68,15,"VWC","",7,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,199,2.98,2.41,0.57,0.81,0.19,NA,NA,"",34.4,15,"VWC","",7,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,203,1.3,1.05,0.25,0.81,0.19,NA,NA,"",34,15,"VWC","",7,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,209,1.09,0.88,0.21,0.81,0.19,NA,NA,"",31.21,15,"VWC","",7,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,216,1.18,0.95,0.22,0.81,0.19,NA,NA,"",26.95,15,"VWC","",8,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,217,0.73,0.59,0.14,0.81,0.19,NA,NA,"",26.24,15,"VWC","",8,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,252,0.24,0.2,0.05,0.81,0.19,NA,NA,"",23.4,15,"VWC","",9,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,258,0.21,0.17,0.04,0.81,0.19,NA,NA,"",24.81,15,"VWC","",9,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
173,"CA-SAS",1971,NA,266,0.22,0.17,0.04,0.81,0.19,NA,NA,"",23.76,15,"VWC","",9,1971,50.6,-107.75,NA,"None","Temperate","Grassland","Deciduous","Clay (Rego Brown Chernozemic)",NA,NA,NA,NA,NA,3.3,390,NA,NA,NA,"Gas chromatography",NA,NA,NA,"",NA,NA,"Isotope",NA,NA,NA,NA,NA
177,"US-BAR",1971,NA,NA,0.82,0.25,0.57,0.3,0.7,NA,NA,"",NA,NA,"","",NA,1971,71.3,-156.67,NA,"None","Arctic","Shrubland","Deciduous","Organic",NA,NA,NA,NA,NA,-12.6,132,NA,NA,NA,"IRGA",NA,NA,176.63,"",NA,NA,"Extraction",53,40,13,0.75,NA
177,"US-BAR",1971,NA,NA,1.39,0.63,0.76,0.450980392,0.549019608,NA,NA,"",NA,NA,"","",NA,1971,71.3,-156.67,NA,"None","Arctic","Shrubland","Deciduous","Organic",NA,NA,NA,NA,NA,-12.6,132,NA,NA,NA,"IRGA",NA,NA,176.63,"",NA,NA,"Extraction",53,40,13,0.75,NA
177,"US-BAR",1971,NA,NA,0.95,0.08,0.87,0.085714286,0.914285714,NA,NA,"",NA,NA,"","",NA,1971,71.3,-156.67,NA,"None","Arctic","Shrubland","Deciduous","Organic",NA,NA,NA,NA,NA,-12.6,132,NA,NA,NA,"IRGA",NA,NA,176.63,"",NA,NA,"Extraction",53,40,13,0.75,NA
177,"US-BAR",1971,NA,NA,1.64,0.44,1.2,0.266666667,0.733333333,NA,NA,"",NA,NA,"","",NA,1971,71.3,-156.67,NA,"None","Arctic","Shrubland","Deciduous","Organic",NA,NA,NA,NA,NA,-12.6,132,NA,NA,NA,"IRGA",NA,NA,176.63,"",NA,NA,"Extraction",53,40,13,0.75,NA
177,"US-BAR",1971,NA,NA,1.06,0.19,0.87,0.179487179,0.820512821,NA,NA,"",NA,NA,"","",NA,1971,71.3,-156.67,NA,"None","Arctic","Shrubland","Deciduous","Organic",NA,NA,NA,NA,NA,-12.6,132,NA,NA,NA,"IRGA",NA,NA,176.63,"",NA,NA,"Extraction",53,40,13,0.75,NA
177,"US-BAR",1971,NA,NA,1.23,0.15,1.08,0.122222222,0.877777778,NA,NA,"",NA,NA,"","",NA,1971,71.3,-156.67,NA,"None","Arctic","Shrubland","Deciduous","Organic",NA,NA,NA,NA,NA,-12.6,132,NA,NA,NA,"IRGA",NA,NA,176.63,"",NA,NA,"Extraction",53,40,13,0.75,NA
243,"MY-TRF",1971,1,15,3.68,2.97,0.71,0.807,0.192,23.7,NA,"",NA,NA,"","",1,1971.5,2.98,102.31,NA,"None","Tropical","Forest","Evergreen","",NA,NA,NA,NA,NA,26.3,2054,NA,NA,NA,"Alkali absorption",NA,NA,NA,"",NA,NA,"Subtraction",1429,70,1359,0.05,NA
243,"MY-TRF",1971,2,45,3.77,2.81,0.95,0.747,0.252,25.1,NA,"",NA,NA,"","",2,1971.5,2.98,102.31,NA,"None","Tropical","Forest","Evergreen","",NA,NA,NA,NA,NA,26.3,2054,NA,NA,NA,"Alkali absorption",NA,NA,NA,"",NA,NA,"Subtraction",1429,70,1359,0.05,NA
243,"MY-TRF",1971,3,75,4.09,2.98,1.1,0.729,0.27,25.2,NA,"",NA,NA,"","",3,1971.5,2.98,102.31,NA,"None","Tropical","Forest","Evergreen","",NA,NA,NA,NA,NA,26.3,2054,NA,NA,NA,"Alkali absorption",NA,NA,NA,"",NA,NA,"Subtraction",1429,70,1359,0.05,NA
243,"MY-TRF",1971,4,105,3.97,3.08,0.9,0.773,0.226,25.7,NA,"",NA,NA,"","",4,1971.5,2.98,102.31,NA,"None","Tropical","Forest","Evergreen","",NA,NA,NA,NA,NA,26.3,2054,NA,NA,NA,"Alkali absorption",NA,NA,NA,"",NA,NA,"Subtraction",1429,70,1359,0.05,NA
243,"MY-TRF",1971,5,135,4.18,3.22,0.96,0.769,0.23,25.6,NA,"",NA,NA,"","",5,1971.5,2.98,102.31,NA,"None","Tropical","Forest","Evergreen","",NA,NA,NA,NA,NA,26.3,2054,NA,NA,NA,"Alkali absorption",NA,NA,NA,"",NA,NA,"Subtraction",1429,70,1359,0.05,NA
243,"MY-TRF",1971,6,165,4.18,3.22,0.96,0.769,0.23,25.6,NA,"",NA,NA,"","",6,1971.5,2.98,102.31,NA,"None","Tropical","Forest","Evergreen","",NA,NA,NA,NA,NA,26.3,2054,NA,NA,NA,"Alkali absorption",NA,NA,NA,"",NA,NA,"Subtraction",1429,70,1359,0.05,NA
